date,lat,lon,pm2_5
02/07/2018 08:22:00,19.33066667,-99.18691667,24.36
02/07/2018 08:22:01,19.33066667,-99.18691667,24.5
02/07/2018 08:22:02,19.33066667,-99.18691667,25.59
02/07/2018 08:22:03,19.33066667,-99.18691667,25.59
02/07/2018 08:22:04,19.33066667,-99.18691667,26.11
02/07/2018 08:22:05,19.33066667,-99.18691667,26.5
02/07/2018 08:22:06,19.33066667,-99.18691667,25.23
02/07/2018 08:22:07,19.33066667,-99.18691667,26.8
02/07/2018 08:22:08,19.33066667,-99.18691667,30.46
02/07/2018 08:22:09,19.33066667,-99.18691667,28.31
02/07/2018 08:22:10,19.33066667,-99.18691667,27.35
02/07/2018 08:22:11,19.33066667,-99.18691667,25.28
02/07/2018 08:22:12,19.33066667,-99.18691667,25.66
02/07/2018 08:22:13,19.33066667,-99.18691667,25.59
02/07/2018 08:22:14,19.33066667,-99.18691667,26.35
02/07/2018 08:22:15,19.33066667,-99.18691667,28.19
02/07/2018 08:22:16,19.33066667,-99.18691667,27.98
02/07/2018 08:22:17,19.33066667,-99.18691667,28.34
02/07/2018 08:22:18,19.33066667,-99.18691667,29.66
02/07/2018 08:22:19,19.33066667,-99.18691667,29.2
02/07/2018 08:22:20,19.33066667,-99.18691667,28.61
02/07/2018 08:22:21,19.33066667,-99.18691667,27.94
02/07/2018 08:22:22,19.33066667,-99.18691667,29.41
02/07/2018 08:22:23,19.33066667,-99.18691667,29.78
02/07/2018 08:22:24,19.33066667,-99.18691667,28.49
02/07/2018 08:22:25,19.33066667,-99.18691667,30.67
02/07/2018 08:22:26,19.33066667,-99.18691667,28.82
02/07/2018 08:22:27,19.33066667,-99.18691667,26.14
02/07/2018 08:22:28,19.33066667,-99.18691667,26.43
02/07/2018 08:22:29,19.33066667,-99.18691667,26.43
02/07/2018 08:22:30,19.33066667,-99.18691667,27.22
02/07/2018 08:22:31,19.33066667,-99.18691667,28.19
02/07/2018 08:22:32,19.33066667,-99.18691667,26.93
02/07/2018 08:22:33,19.33066667,-99.18691667,28.77
02/07/2018 08:22:34,19.33066667,-99.18691667,28.33
02/07/2018 08:22:35,19.33066667,-99.18691667,28.06
02/07/2018 08:22:36,19.33066667,-99.18691667,28.74
02/07/2018 08:22:37,19.33066667,-99.18691667,25.98
02/07/2018 08:22:38,19.33066667,-99.18691667,27.76
02/07/2018 08:22:39,19.33066667,-99.18691667,27.29
02/07/2018 08:22:40,19.33066667,-99.18691667,25.95
02/07/2018 08:22:41,19.33066667,-99.18691667,27.09
02/07/2018 08:22:42,19.33066667,-99.18691667,24.05
02/07/2018 08:22:43,19.33066667,-99.18691667,26.19
02/07/2018 08:22:44,19.33066667,-99.18691667,26.9
02/07/2018 08:22:45,19.33066667,-99.18691667,25.34
02/07/2018 08:22:46,19.33066667,-99.18691667,25.99
02/07/2018 08:22:47,19.33066667,-99.18691667,25.88
02/07/2018 08:22:48,19.33066667,-99.18691667,24.42
02/07/2018 08:22:49,19.33066667,-99.18691667,26.2
02/07/2018 08:22:50,19.33066667,-99.18691667,24.46
02/07/2018 08:22:51,19.33066667,-99.18691667,26.5
02/07/2018 08:22:52,19.33066667,-99.18691667,25.07
02/07/2018 08:22:53,19.33066667,-99.18691667,24.56
