date,pmangel,temp,rh,press,lat,lon,alt,pmlaura,temp,rh,press,lat,lon,alt,trolemt11
11/11/2014 11:00,51.54,22.8,35,586,19.3462,-99.17785,"	2273",53.96,22.7,36,584,19.3462,-99.17785,"	2273",52.75
11/11/2014 11:00,47.4,22.8,35,586,19.34618333,-99.17778333,"	2273",54.22,22.7,36,584,19.34618333,-99.17778333,"	2273",50.81
11/11/2014 11:00,49.51,22.8,35,586,19.34618333,-99.17773333,"	2272",57.39,22.7,36,584,19.34618333,-99.17773333,"	2272",53.45
11/11/2014 11:00,51.19,22.8,35,586,19.34616667,-99.17768333,"	2272",56.54,22.7,36,584,19.34616667,-99.17768333,"	2272",53.865
11/11/2014 11:00,50.41,22.8,35,586,19.34616667,-99.17765,"	2273",58.79,22.7,36,584,19.34616667,-99.17765,"	2273",54.6
11/11/2014 11:00,50.21,22.8,36,586,19.34616667,-99.17761667,"	2273",58.79,22.7,36,584,19.34616667,-99.17761667,"	2273",54.5
11/11/2014 11:00,49.96,22.8,36,586,19.34615,-99.17756667,"	2273",55.28,22.7,36,584,19.34615,-99.17756667,"	2273",52.62
11/11/2014 11:00,52.58,22.8,36,586,19.34615,-99.17751667,"	2272",53.56,22.7,36,584,19.34615,-99.17751667,"	2272",53.07
11/11/2014 11:00,49.1,22.8,36,586,19.34613333,-99.17745,"	2272",56.31,22.7,36,584,19.34613333,-99.17745,"	2272",52.705
11/11/2014 11:00,49.83,22.8,36,586,19.34613333,-99.1774,"	2273",54.2,22.7,36,584,19.34613333,-99.1774,"	2273",52.015
11/11/2014 11:00,50.3,22.8,36,586,19.34611667,-99.17733333,"	2273",53.22,22.7,36,584,19.34611667,-99.17733333,"	2273",51.76
11/11/2014 11:00,47.41,22.8,36,586,19.34611667,-99.17728333,"	2273",51.1,22.7,36,584,19.34611667,-99.17728333,"	2273",49.255
11/11/2014 11:00,48.02,22.8,36,586,19.34611667,-99.17723333,"	2272",52.84,22.7,36,584,19.34611667,-99.17723333,"	2272",50.43
11/11/2014 11:00,46.58,22.8,36,586,19.3461,-99.1772,"	2272",53.87,22.7,36,584,19.3461,-99.1772,"	2272",50.225
11/11/2014 11:00,47.69,22.8,36,586,19.3461,-99.17716667,"	2272",51.92,22.7,36,584,19.3461,-99.17716667,"	2272",49.805
11/11/2014 11:00,46.64,22.8,36,586,19.3461,-99.17713333,"	2272",51.3,22.7,36,584,19.3461,-99.17713333,"	2272",48.97
11/11/2014 11:00,47.05,22.8,36,586,19.3461,-99.1771,"	2271",51.5,22.7,36,584,19.3461,-99.1771,"	2271",49.275
11/11/2014 11:00,46.33,22.8,36,586,19.3461,-99.1771,"	2272",49.59,22.7,36,584,19.3461,-99.1771,"	2272",47.96
11/11/2014 11:00,48.59,22.8,36,586,19.3461,-99.1771,"	2272",50.71,22.7,36,584,19.3461,-99.1771,"	2272",49.65
11/11/2014 11:00,48.59,22.8,36,586,19.3461,-99.1771,"	2272",50.76,22.7,36,584,19.3461,-99.1771,"	2272",49.675
11/11/2014 11:00,50.15,22.8,36,586,19.3461,-99.1771,"	2272",49.34,22.7,36,584,19.3461,-99.1771,"	2272",49.745
11/11/2014 11:00,49.35,22.8,36,586,19.3461,-99.1771,"	2272",52.6,22.7,36,584,19.3461,-99.1771,"	2272",50.975
11/11/2014 11:00,48.88,22.8,36,586,19.3461,-99.1771,"	2273",52.35,22.7,36,584,19.3461,-99.1771,"	2273",50.615
11/11/2014 11:00,47.83,22.8,35,586,19.3461,-99.1771,"	2272",47.59,22.7,36,584,19.3461,-99.1771,"	2272",47.71
11/11/2014 11:00,44.12,22.8,35,586,19.3461,-99.1771,"	2273",49.03,22.7,36,584,19.3461,-99.1771,"	2273",46.575
11/11/2014 11:00,44.89,22.8,35,586,19.3461,-99.1771,"	2272",50.93,22.7,36,584,19.3461,-99.1771,"	2272",47.91
11/11/2014 11:00,47.38,22.8,35,586,19.34608333,-99.17706667,"	2272",51.55,22.7,36,584,19.34608333,-99.17706667,"	2272",49.465
11/11/2014 11:00,47.88,22.8,35,586,19.34608333,-99.17705,"	2272",55.23,22.8,36,584,19.34608333,-99.17705,"	2272",51.555
11/11/2014 11:00,46.4,22.8,35,586,19.34608333,-99.17703333,"	2272",50.13,22.8,36,584,19.34608333,-99.17703333,"	2272",48.265
11/11/2014 11:01,47.93,22.9,35,586,19.34608333,-99.17701667,"	2272",49.63,22.8,36,584,19.34608333,-99.17701667,"	2272",48.78
11/11/2014 11:01,45.74,22.9,35,586,19.34608333,-99.177,"	2272",54.66,22.8,36,584,19.34608333,-99.177,"	2272",50.2
11/11/2014 11:01,45.66,22.9,35,586,19.34606667,-99.17696667,"	2272",54.66,22.8,36,584,19.34606667,-99.17696667,"	2272",50.16
11/11/2014 11:01,47.9,22.9,35,586,19.34606667,-99.17695,"	2272",50.11,22.8,36,584,19.34606667,-99.17695,"	2272",49.005
11/11/2014 11:01,47.98,22.9,35,586,19.34606667,-99.17695,"	2272",48.6,22.8,36,584,19.34606667,-99.17695,"	2272",48.29
11/11/2014 11:01,46.97,22.9,35,586,19.34606667,-99.17695,"	2272",48.65,22.8,36,584,19.34606667,-99.17695,"	2272",47.81
11/11/2014 11:01,48.68,22.9,35,586,19.34606667,-99.17695,"	2272",50.04,22.8,36,584,19.34606667,-99.17695,"	2272",49.36
11/11/2014 11:01,42.69,22.9,35,586,19.34606667,-99.17695,"	2272",49.87,22.8,36,584,19.34606667,-99.17695,"	2272",46.28
11/11/2014 11:01,46.01,22.9,35,586,19.34606667,-99.17695,"	2272",50.17,22.8,36,584,19.34606667,-99.17695,"	2272",48.09
11/11/2014 11:01,43.95,22.9,35,586,19.34606667,-99.17695,"	2272",47.64,22.8,36,584,19.34606667,-99.17695,"	2272",45.795
11/11/2014 11:01,43.09,22.9,35,586,19.34606667,-99.17695,"	2272",49.69,22.8,36,584,19.34606667,-99.17695,"	2272",46.39
11/11/2014 11:01,45.39,22.9,35,586,19.34606667,-99.17695,"	2273",48.54,22.8,36,584,19.34606667,-99.17695,"	2273",46.965
11/11/2014 11:01,43.3,22.9,35,586,19.34606667,-99.17695,"	2272",48.15,22.8,36,584,19.34606667,-99.17695,"	2272",45.725
11/11/2014 11:01,47.23,22.9,35,586,19.34606667,-99.17695,"	2272",49.66,22.8,36,584,19.34606667,-99.17695,"	2272",48.445
11/11/2014 11:01,45.63,22.9,35,586,19.34606667,-99.17695,"	2272",48.82,22.8,36,584,19.34606667,-99.17695,"	2272",47.225
11/11/2014 11:01,42.47,22.9,35,586,19.34606667,-99.17695,"	2272",50.18,22.8,36,584,19.34606667,-99.17695,"	2272",46.325
11/11/2014 11:01,42.47,22.9,35,586,19.34606667,-99.17695,"	2273",48.76,22.8,35,584,19.34606667,-99.17695,"	2273",45.615
11/11/2014 11:01,40.69,22.9,35,586,19.34606667,-99.17695,"	2272",50.21,22.8,35,584,19.34606667,-99.17695,"	2272",45.45
11/11/2014 11:01,43.53,22.9,34,586,19.34606667,-99.17695,"	2272",51.46,22.8,35,584,19.34606667,-99.17695,"	2272",47.495
11/11/2014 11:01,43.48,22.9,34,586,19.34606667,-99.17695,"	2272",48.54,22.8,35,584,19.34606667,-99.17695,"	2272",46.01
11/11/2014 11:01,43.93,22.9,34,586,19.34606667,-99.17695,"	2273",50.62,22.8,35,584,19.34606667,-99.17695,"	2273",47.275
11/11/2014 11:01,45.43,22.9,34,586,19.34606667,-99.17695,"	2272",48.27,22.8,35,584,19.34606667,-99.17695,"	2272",46.85
11/11/2014 11:01,42.44,22.9,34,586,19.34606667,-99.17695,"	2272",49.81,22.8,35,584,19.34606667,-99.17695,"	2272",46.125
11/11/2014 11:01,43.19,22.9,34,586,19.34606667,-99.17695,"	2273",48.35,22.8,35,584,19.34606667,-99.17695,"	2273",45.77
11/11/2014 11:01,43.52,22.9,34,586,19.34606667,-99.17695,"	2272",47.43,22.8,35,584,19.34606667,-99.17695,"	2272",45.475
11/11/2014 11:01,44.59,22.9,34,586,19.34606667,-99.17695,"	2272",46.55,22.8,35,584,19.34606667,-99.17695,"	2272",45.57
11/11/2014 11:01,44.34,22.9,34,586,19.34606667,-99.17695,"	2272",51.19,22.8,35,584,19.34606667,-99.17695,"	2272",47.765
11/11/2014 11:01,42.48,22.9,34,586,19.34606667,-99.17695,"	2272",49.12,22.8,35,584,19.34606667,-99.17695,"	2272",45.8
11/11/2014 11:01,43.68,22.9,34,586,19.34606667,-99.17695,"	2272",49.12,22.8,35,584,19.34606667,-99.17695,"	2272",46.4
11/11/2014 11:01,41.66,22.9,34,586,19.34606667,-99.17695,"	2272",46.8,22.8,35,584,19.34606667,-99.17695,"	2272",44.23
11/11/2014 11:01,41.98,22.9,34,586,19.34606667,-99.17695,"	2272",45.86,22.8,35,584,19.34606667,-99.17695,"	2272",43.92
11/11/2014 11:01,41.29,22.9,34,586,19.34606667,-99.17695,"	2272",45.09,22.8,35,584,19.34606667,-99.17695,"	2272",43.19
11/11/2014 11:01,42.54,22.9,34,586,19.34606667,-99.17695,"	2272",45.17,22.8,35,584,19.34606667,-99.17695,"	2272",43.855
11/11/2014 11:01,41.13,22.9,34,586,19.34606667,-99.17695,"	2272",46.77,22.8,35,584,19.34606667,-99.17695,"	2272",43.95
11/11/2014 11:01,43.25,22.9,34,586,19.34606667,-99.17695,"	2272",44.93,22.8,35,584,19.34606667,-99.17695,"	2272",44.09
11/11/2014 11:01,45.91,22.9,34,586,19.34606667,-99.17695,"	2272",46.07,22.8,35,584,19.34606667,-99.17695,"	2272",45.99
11/11/2014 11:01,41.17,22.9,34,586,19.34606667,-99.17695,"	2273",46.8,22.8,35,584,19.34606667,-99.17695,"	2273",43.985
11/11/2014 11:01,41.93,22.9,34,586,19.34606667,-99.17695,"	2272",48.34,22.8,35,584,19.34606667,-99.17695,"	2272",45.135
11/11/2014 11:01,42.11,22.9,34,586,19.34606667,-99.17695,"	2273",45.65,22.8,35,584,19.34606667,-99.17695,"	2273",43.88
11/11/2014 11:01,44.8,22.9,34,586,19.34606667,-99.17695,"	2272",46.77,22.8,35,584,19.34606667,-99.17695,"	2272",45.785
11/11/2014 11:01,40.79,22.9,34,586,19.34606667,-99.17695,"	2273",46.19,22.8,35,584,19.34606667,-99.17695,"	2273",43.49
11/11/2014 11:01,41.34,22.9,34,586,19.34606667,-99.17695,"	2272",47.06,22.8,35,584,19.34606667,-99.17695,"	2272",44.2
11/11/2014 11:01,41.35,22.9,34,586,19.34606667,-99.17695,"	2272",47.57,22.8,35,584,19.34606667,-99.17695,"	2272",44.46
11/11/2014 11:01,44.94,22.9,34,586,19.34606667,-99.17695,"	2272",48.78,22.8,35,584,19.34606667,-99.17695,"	2272",46.86
